harbor,code,location
Port of Nakskov,DKNAK,"11.063591109539528 54.80489339610917,11.063591109539528 54.86241999823739,11.182344096189894 54.86241999823739,11.182344096189894 54.80489339610917,11.063591109539528 54.80489339610917"
Port of Rodbyhavn,DKROD,"11.34491513418209 54.64940409486474,11.34294102834713 54.65764677852928,11.35603378636472 54.65865630933232,11.35530064748776 54.65069522803324,11.34491513418209 54.64940409486474"
Port of Nykobing Mors,DKNYM,"8.810668910761141 56.758709876773565,8.810668910761141 56.80471601918585,8.910538181615582 56.80471601918585,8.910538181615582 56.758709876773565,8.810668910761141 56.758709876773565"
Stege Havn,DKSTE,"12.232179057455292 54.96271313010155,12.232179057455292 55.0087325928901,12.327541164790329 55.0087325928901,12.327541164790329 54.96271313010155,12.232179057455292 54.96271313010155"
Port of Kyndby,DKKBY,"11.87073199948552 55.79895731017615,11.875424084107157 55.81735051154854,11.89453572439286 55.81329961037869,11.882977184693095 55.79805672877137,11.87073199948552 55.79895731017615"
Assens Havn,DKASN,"9.867391967150088 55.25144218841893,9.881124887783715 55.28221816593023,9.907904062588404 55.2819574508126,9.907446295424068 55.25574704193667,9.898291025479029 55.24100424834512,9.867391967150088 55.25144218841893"
Augustenborg Yachthavn,DKAUB,"9.802784875365269 54.94460813405315,9.802784875365269 54.98174673722358,9.921889387980872 54.98174673722358,9.921889387980872 54.92422125350652,9.831836954554623 54.92422125350652,9.802784875365269 54.94460813405315"
Thyboron Harbour,DKTYB,"8.17400687198678 56.6817864368648,8.20912016833608 56.71268568351044,8.225313559974888 56.70819453743397,8.232237237258227 56.68969038025296,8.250535322972778 56.70005316213343,8.242988316928152 56.70033110360151,8.246070279725236 56.70338087637302,8.251048459656877 56.70319240080781,8.250552764479613 56.70005241166893,8.23223371701277 56.68968468745953,8.235085799046994 56.68422241552517,8.231423693164455 56.67124020638715,8.17400687198678 56.6817864368648"
Faaborg Havn,DKFAA,"10.22522741696405 55.09560369518678,10.23157888791132 55.10051470104793,10.24805838009881 55.09413027577185,10.24273687741327 55.08970969169354,10.22522741696405 55.09560369518678"
Sandvig Havn,DKSVG,"14.782274395808384 55.2887031689165,14.781802327021763 55.28981507245882,14.783068329676793 55.28992503924826,14.783476025447058 55.288800919927326,14.782274395808384 55.2887031689165"
Nysted Havn,DKNTD,"11.719655274661598 54.65553779079971,11.718882798465307 54.66596342810911,11.735190629275856 54.66636054234391,11.734160661014137 54.65300544652524,11.719655274661598 54.65553779079971"
Munkebo Havn,DKMNK,"10.54316672075457 55.44595846993316,10.54316672075457 55.457461942698885,10.567288193432255 55.457461942698885,10.567288193432255 55.44595846993316,10.54316672075457 55.44595846993316"
Hundested Havn,DKHUN,"11.83781137158645 55.95708951669332,11.8356369945816 55.96852353476299,11.85417642460221 55.96836341728988,11.85657968126021 55.95600038542324,11.83781137158645 55.95708951669332"
Vang Havn,DKVNG,"14.723510367321246 55.243458303229986,14.723510367321246 55.25496215832888,14.747509071217648 55.25496215832888,14.747509071217648 55.243458303229986,14.723510367321246 55.243458303229986"
Hammer Havn,DKHHV,"14.754758290660538 55.275849512499605,14.754329137218155 55.279662858015115,14.75879233301894 55.279271762509126,14.758878163707415 55.276093968710654,14.754758290660538 55.275849512499605"
Spodsbjerg Haven,DKSPB,"10.82851139782623 54.93252462345862,10.83089319943145 54.93621061819687,10.83627907513336 54.93505184689559,10.83415476559356 54.9315383468427,10.82851139782623 54.93252462345862"
Veno Havn,DKVEN,"8.601405015284028 56.54568158818822,8.601405015284028 56.557183003473526,8.626221361418917 56.557183003473526,8.626221361418917 56.54568158818822,8.601405015284028 56.54568158818822"
Port of Stevns Pier,DKSTP,"12.439319672726503 55.317625031012035,12.439319672726503 55.329128745958585,12.46336316077719 55.329128745958585,12.46336316077719 55.317625031012035,12.439319672726503 55.317625031012035"
Lindoe Terminal,DKLIN,"10.516772828345273 55.4612362602671,10.516772828345273 55.472739704229824,10.540903626784399 55.472739704229824,10.540903626784399 55.4612362602671,10.516772828345273 55.4612362602671"
Dansk Salts Havn,DKDAS,"10.024969707714403 56.6773483610387,10.024969707714403 56.68884953221331,10.049872571644608 56.68884953221331,10.049872571644608 56.6773483610387,10.024969707714403 56.6773483610387"
Anholt Havn,DKANH,"11.472138136775945 56.69995978877116,11.472138136775945 56.73446420533152,11.546912680126479 56.73446420533152,11.546912680126479 56.69995978877116,11.472138136775945 56.69995978877116"
Niva Havn,DKNIV,"12.506730241006379 55.93143778000821,12.506730241006379 55.94869174551719,12.543366132204847 55.94869174551719,12.543366132204847 55.93143778000821,12.506730241006379 55.93143778000821"
Gilleleje Havn,DKGLE,"12.30112594790101 56.12580780494639,12.3093120504693 56.13062534425029,12.31635016692437 56.12957299151293,12.31503052074389 56.12236320144959,12.30112594790101 56.12580780494639"
Vestero Havn,DKLES,"10.902678935291942 57.28866161638055,10.902678935291942 57.30591181485554,10.940653254435917 57.30591181485554,10.940653254435917 57.28866161638055,10.902678935291942 57.28866161638055"
Aalbaek Havn,DKAAF,"10.407236068121861 57.58449529602311,10.407236068121861 57.601744684138566,10.445518146423915 57.601744684138566,10.445518146423915 57.58449529602311,10.407236068121861 57.58449529602311"
Saeby Havn,DKSAE,"10.512103091986791 57.32532832608148,10.512103091986791 57.34257842390122,10.55011523142834 57.34257842390122,10.55011523142834 57.32532832608148,10.512103091986791 57.32532832608148"
Rorvig Havn,DKRRV,"11.76305127917487 55.94416050412806,11.76642728712807 55.94659573243075,11.77131963899058 55.94432072174351,11.76791501993478 55.94194944009462,11.76305127917487 55.94416050412806"
Agerso Havn,DKAGO,"11.178757313740523 55.203103564391405,11.178757313740523 55.22035958268897,11.214721352608425 55.22035958268897,11.214721352608425 55.203103564391405,11.178757313740523 55.203103564391405"
Bogense Haven,DKBGZ,"10.059138441297188 55.55977066444822,10.059138441297188 55.57702567489502,10.095427640068657 55.57702567489502,10.095427640068657 55.55977066444822,10.059138441297188 55.55977066444822"
Egernsund Havn,DKEND,"9.583068112910993 54.90226986358277,9.583068112910993 54.91952673571284,9.61876346821283 54.91952673571284,9.61876346821283 54.90226986358277,9.583068112910993 54.90226986358277"
Juelsminde Havn,DKJUE,"9.99323154544545 55.707826399161135,9.99323154544545 55.72508099269306,10.02965787616249 55.72508099269306,10.02965787616249 55.707826399161135,9.99323154544545 55.707826399161135"
